date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:41:31	3253/3253	---MC-	200	added ('OK')	image/png	date:Sat,%2018%20Nov%202023%2001:41:31%20GMT	https://htmldemo.net/facon/facon/img/cards/visa.png	C:/My%20Web%20Sites/client2/htmldemo.net/facon/facon/img/cards/visa.png	(from https://htmldemo.net/facon/facon/index-4.html)
08:41:31	97168/97168	---MCZ	200	added ('OK')	application/javascript	etag:W/%226399b52a-17b90%22	https://htmldemo.net/facon/facon/js/vendor/jquery-1.12.4.min.js	C:/My%20Web%20Sites/client2/htmldemo.net/facon/facon/js/vendor/jquery-1.12.4.min.js	(from https://htmldemo.net/facon/facon/index-4.html)
08:41:31	80376/80376	---MCZ	200	added ('OK')	application/javascript	etag:W/%226399b49d-139f8%22	https://htmldemo.net/facon/facon/js/bootstrap.min.js	C:/My%20Web%20Sites/client2/htmldemo.net/facon/facon/js/bootstrap.min.js	(from https://htmldemo.net/facon/facon/index-4.html)
08:41:32	44348/44348	---MCZ	200	added ('OK')	application/javascript	etag:W/%226399b4a2-ad3c%22	https://htmldemo.net/facon/facon/js/owl.carousel.min.js	C:/My%20Web%20Sites/client2/htmldemo.net/facon/facon/js/owl.carousel.min.js	(from https://htmldemo.net/facon/facon/index-4.html)
08:41:32	24022/24022	---MCZ	200	added ('OK')	application/javascript	etag:W/%226399b49e-5dd6%22	https://htmldemo.net/facon/facon/js/jquery-ui.min.js	C:/My%20Web%20Sites/client2/htmldemo.net/facon/facon/js/jquery-ui.min.js	(from https://htmldemo.net/facon/facon/index-4.html)
08:41:32	6023/6023	---MCZ	200	added ('OK')	application/javascript	etag:W/%226399b49f-1787%22	https://htmldemo.net/facon/facon/js/jquery.meanmenu.js	C:/My%20Web%20Sites/client2/htmldemo.net/facon/facon/js/jquery.meanmenu.js	(from https://htmldemo.net/facon/facon/index-4.html)
08:41:32	5669/5669	---MCZ	200	added ('OK')	application/javascript	etag:W/%226399b4a0-1625%22	https://htmldemo.net/facon/facon/js/jquery.scrollUp.js	C:/My%20Web%20Sites/client2/htmldemo.net/facon/facon/js/jquery.scrollUp.js	(from https://htmldemo.net/facon/facon/index-4.html)
08:41:33	41970/41970	---MCZ	200	added ('OK')	application/javascript	etag:W/%226399b4a4-a3f2%22	https://htmldemo.net/facon/facon/js/slick.min.js	C:/My%20Web%20Sites/client2/htmldemo.net/facon/facon/js/slick.min.js	(from https://htmldemo.net/facon/facon/index-4.html)
08:41:33	7313/7313	---MCZ	200	added ('OK')	application/javascript	etag:W/%226399b4a1-1c91%22	https://htmldemo.net/facon/facon/js/main.js	C:/My%20Web%20Sites/client2/htmldemo.net/facon/facon/js/main.js	(from https://htmldemo.net/facon/facon/index-4.html)
08:41:33	58680/58680	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%226399b494-e538%22	https://htmldemo.net/facon/facon/fonts/Pe-icon-7-stroke.eot?d7yf1v	C:/My%20Web%20Sites/client2/htmldemo.net/facon/facon/fonts/Pe-icon-7-strokebb1d.eot	(from https://htmldemo.net/facon/facon/css/pe-icon-7-stroke.css)
08:41:34	58680/58680	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%226399b494-e538%22	https://htmldemo.net/facon/facon/fonts/Pe-icon-7-stroke.eot?	C:/My%20Web%20Sites/client2/htmldemo.net/facon/facon/fonts/Pe-icon-7-stroked41d.eot	(from https://htmldemo.net/facon/facon/css/pe-icon-7-stroke.css)
08:41:34	58556/58556	---M--	200	added ('OK')	font/woff	etag:%226399b499-e4bc%22	https://htmldemo.net/facon/facon/fonts/Pe-icon-7-stroke.woff?d7yf1v	C:/My%20Web%20Sites/client2/htmldemo.net/facon/facon/fonts/Pe-icon-7-strokebb1d.woff	(from https://htmldemo.net/facon/facon/css/pe-icon-7-stroke.css)
08:41:34	58480/58480	---M--	200	added ('OK')	application/octet-stream	etag:%226399b497-e470%22	https://htmldemo.net/facon/facon/fonts/Pe-icon-7-stroke.ttf?d7yf1v	C:/My%20Web%20Sites/client2/htmldemo.net/facon/facon/fonts/Pe-icon-7-strokebb1d.ttf	(from https://htmldemo.net/facon/facon/css/pe-icon-7-stroke.css)
08:41:35	164231/164231	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226399b497-28187%22	https://htmldemo.net/facon/facon/fonts/Pe-icon-7-stroke.svg?d7yf1v	C:/My%20Web%20Sites/client2/htmldemo.net/facon/facon/fonts/Pe-icon-7-strokebb1d.svg	(from https://htmldemo.net/facon/facon/css/pe-icon-7-stroke.css)
08:41:35	70807/70807	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%226399b48e-11497%22	https://htmldemo.net/facon/facon/fonts/fontawesome-webfont.eot?v=4.5.0	C:/My%20Web%20Sites/client2/htmldemo.net/facon/facon/fonts/fontawesome-webfont3295.eot	(from https://htmldemo.net/facon/facon/css/font-awesome.min.css)
08:41:36	70807/70807	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%226399b48e-11497%22	https://htmldemo.net/facon/facon/fonts/fontawesome-webfont.eot?	C:/My%20Web%20Sites/client2/htmldemo.net/facon/facon/fonts/fontawesome-webfontd41d.eot	(from https://htmldemo.net/facon/facon/css/font-awesome.min.css)
08:41:36	66624/66624	---M--	200	added ('OK')	font/woff2	etag:%226399b492-10440%22	https://htmldemo.net/facon/facon/fonts/fontawesome-webfont.woff2?v=4.5.0	C:/My%20Web%20Sites/client2/htmldemo.net/facon/facon/fonts/fontawesome-webfont3295.woff2	(from https://htmldemo.net/facon/facon/css/font-awesome.min.css)
08:41:36	83588/83588	---M--	200	added ('OK')	font/woff	etag:%226399b492-14684%22	https://htmldemo.net/facon/facon/fonts/fontawesome-webfont.woff?v=4.5.0	C:/My%20Web%20Sites/client2/htmldemo.net/facon/facon/fonts/fontawesome-webfont3295.woff	(from https://htmldemo.net/facon/facon/css/font-awesome.min.css)
08:41:36	142072/142072	---M--	200	added ('OK')	application/octet-stream	etag:%226399b490-22af8%22	https://htmldemo.net/facon/facon/fonts/fontawesome-webfont.ttf?v=4.5.0	C:/My%20Web%20Sites/client2/htmldemo.net/facon/facon/fonts/fontawesome-webfont3295.ttf	(from https://htmldemo.net/facon/facon/css/font-awesome.min.css)
08:41:37	366270/366270	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226399b490-596be%22	https://htmldemo.net/facon/facon/fonts/fontawesome-webfont.svg?v=4.5.0	C:/My%20Web%20Sites/client2/htmldemo.net/facon/facon/fonts/fontawesome-webfont3295.svg	(from https://htmldemo.net/facon/facon/css/font-awesome.min.css)
08:41:37	8476/8476	---M--	200	added ('OK')	image/gif	date:Sat,%2018%20Nov%202023%2001:41:37%20GMT	https://htmldemo.net/facon/facon/css/ajax-loader.gif	C:/My%20Web%20Sites/client2/htmldemo.net/facon/facon/css/ajax-loader.gif	(from https://htmldemo.net/facon/facon/css/slick-theme.css)
08:41:37	678/678	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2018%20Nov%202023%2001:41:38%20GMT	https://htmldemo.net/facon/facon/css/fonts/slick.eot	C:/My%20Web%20Sites/client2/htmldemo.net/facon/facon/css/fonts/slick.eot	(from https://htmldemo.net/facon/facon/css/slick-theme.css)
08:41:37	678/678	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2018%20Nov%202023%2001:41:38%20GMT	https://htmldemo.net/facon/facon/css/fonts/slick.eot?	C:/My%20Web%20Sites/client2/htmldemo.net/facon/facon/css/fonts/slickd41d.eot	(from https://htmldemo.net/facon/facon/css/slick-theme.css)
08:41:38	678/678	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2018%20Nov%202023%2001:41:38%20GMT	https://htmldemo.net/facon/facon/css/fonts/slick.woff	C:/My%20Web%20Sites/client2/htmldemo.net/facon/facon/css/fonts/slick.woff	(from https://htmldemo.net/facon/facon/css/slick-theme.css)
08:41:38	678/678	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2018%20Nov%202023%2001:41:39%20GMT	https://htmldemo.net/facon/facon/css/fonts/slick.ttf	C:/My%20Web%20Sites/client2/htmldemo.net/facon/facon/css/fonts/slick.ttf	(from https://htmldemo.net/facon/facon/css/slick-theme.css)
08:41:39	678/678	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2018%20Nov%202023%2001:41:39%20GMT	https://htmldemo.net/facon/facon/css/fonts/slick.svg	C:/My%20Web%20Sites/client2/htmldemo.net/facon/facon/css/fonts/slick.svg	(from https://htmldemo.net/facon/facon/css/slick-theme.css)
08:41:39	678/678	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2018%20Nov%202023%2001:41:39%20GMT	https://htmldemo.net/facon/facon/css/owl.video.play.png	C:/My%20Web%20Sites/client2/htmldemo.net/facon/facon/css/owl.video.play.png	(from https://htmldemo.net/facon/facon/css/owl.carousel.css)
08:41:39	2056/2056	---MC-	200	added ('OK')	image/png	date:Sat,%2018%20Nov%202023%2001:41:40%20GMT	https://htmldemo.net/facon/facon/img/arrivals/icon.png	C:/My%20Web%20Sites/client2/htmldemo.net/facon/facon/img/arrivals/icon.png	(from https://htmldemo.net/facon/facon/style.css)
08:41:40	14633/14633	---M--	200	added ('OK')	image/jpeg	date:Sat,%2018%20Nov%202023%2001:41:40%20GMT	https://htmldemo.net/facon/facon/img/slider-img/detail.jpg	C:/My%20Web%20Sites/client2/htmldemo.net/facon/facon/img/slider-img/detail.jpg	(from https://htmldemo.net/facon/facon/style.css)
08:41:40	96598/96598	---M--	200	added ('OK')	image/jpeg	date:Sat,%2018%20Nov%202023%2001:41:40%20GMT	https://htmldemo.net/facon/facon/img/banner/add.jpg	C:/My%20Web%20Sites/client2/htmldemo.net/facon/facon/img/banner/add.jpg	(from https://htmldemo.net/facon/facon/style.css)
